step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
218,Hybrid,mixture2,-1.33492461,1.22804953e-04,100
219,Metropolis,metropolis,-1.33379279,4.16535349e-04,100
219,Row-Update,mps2,-1.33489194,1.11805698e-04,100
219,Hybrid,mixture2,-1.33500088,1.23775100e-04,100
220,Metropolis,metropolis,-1.33375124,4.20845299e-04,100
220,Row-Update,mps2,-1.33491437,1.10002190e-04,100
220,Hybrid,mixture2,-1.33495105,1.20100014e-04,100
221,Metropolis,metropolis,-1.33373766,4.20968995e-04,100
221,Row-Update,mps2,-1.33492858,1.15126417e-04,100
221,Hybrid,mixture2,-1.33495628,1.18876224e-04,100
222,Metropolis,metropolis,-1.33379358,4.19144489e-04,100
222,Row-Update,mps2,-1.33487491,1.14531755e-04,100
222,Hybrid,mixture2,-1.33496231,1.20399050e-04,100
223,Metropolis,metropolis,-1.33377261,4.24287182e-04,100
223,Row-Update,mps2,-1.33485647,1.19824264e-04,100
223,Hybrid,mixture2,-1.33498824,1.20674331e-04,100
224,Metropolis,metropolis,-1.33387979,4.19611579e-04,100
224,Row-Update,mps2,-1.33487140,1.17279878e-04,100
224,Hybrid,mixture2,-1.33495104,1.23824675e-04,100
225,Metropolis,metropolis,-1.33385771,4.20022774e-04,100
225,Row-Update,mps2,-1.33493889,1.19149341e-04,100
225,Hybrid,mixture2,-1.33500874,1.20197080e-04,100
226,Metropolis,metropolis,-1.33388337,4.21701615e-04,100
226,Row-Update,mps2,-1.33496578,1.13920927e-04,100
226,Hybrid,mixture2,-1.33502636,1.26199407e-04,100
227,Metropolis,metropolis,-1.33384654,4.23835173e-04,100
227,Row-Update,mps2,-1.33492749,1.17346567e-04,100
227,Hybrid,mixture2,-1.33506505,1.18793789e-04,100
228,Metropolis,metropolis,-1.33387543,4.18980439e-04,100
228,Row-Update,mps2,-1.33495137,1.15139801e-04,100
228,Hybrid,mixture2,-1.33506174,1.20848535e-04,100
229,Metropolis,metropolis,-1.33385254,4.17662699e-04,100
229,Row-Update,mps2,-1.33495157,1.15392583e-04,100
229,Hybrid,mixture2,-1.33506902,1.20976221e-04,100
230,Metropolis,metropolis,-1.33390349,4.17958040e-04,100
230,Row-Update,mps2,-1.33494757,1.16407616e-04,100
230,Hybrid,mixture2,-1.33503617,1.36956952e-04,100
231,Metropolis,metropolis,-1.33388214,4.20708753e-04,100
231,Row-Update,mps2,-1.33501555,1.13915566e-04,100
231,Hybrid,mixture2,-1.33506782,1.28074804e-04,100
232,Metropolis,metropolis,-1.33394693,4.20353763e-04,100
232,Row-Update,mps2,-1.33499157,1.15502019e-04,100
232,Hybrid,mixture2,-1.33509820,1.16057823e-04,100
233,Metropolis,metropolis,-1.33397774,4.19628821e-04,100
233,Row-Update,mps2,-1.33502711,1.17704253e-04,100
233,Hybrid,mixture2,-1.33509020,1.16267861e-04,100
234,Metropolis,metropolis,-1.33397598,4.16567158e-04,100
