step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
178,Row-Update,mps,-1.38996609,2.20581819e-03,20
178,Hybrid,mixture,-1.39311005,1.82305167e-03,20
179,Metropolis,metropolis,-1.38479343,2.58366428e-03,20
179,Row-Update,mps,-1.38995651,2.21234035e-03,20
179,Hybrid,mixture,-1.39310694,1.82250225e-03,20
180,Metropolis,metropolis,-1.38482476,2.58540827e-03,20
180,Row-Update,mps,-1.39000011,2.20984704e-03,20
180,Hybrid,mixture,-1.39308263,1.83214642e-03,20
181,Metropolis,metropolis,-1.38480760,2.57070833e-03,20
181,Row-Update,mps,-1.38999212,2.21247314e-03,20
181,Hybrid,mixture,-1.39313333,1.82132161e-03,20
182,Metropolis,metropolis,-1.38493568,2.59492401e-03,20
182,Row-Update,mps,-1.39009022,2.20076604e-03,20
182,Hybrid,mixture,-1.39318032,1.82025837e-03,20
183,Metropolis,metropolis,-1.38498499,2.60972025e-03,20
183,Row-Update,mps,-1.39008236,2.20116136e-03,20
183,Hybrid,mixture,-1.39322227,1.80727176e-03,20
184,Metropolis,metropolis,-1.38499415,2.61474964e-03,20
184,Row-Update,mps,-1.39014607,2.20584767e-03,20
184,Hybrid,mixture,-1.39326811,1.81180662e-03,20
185,Metropolis,metropolis,-1.38498271,2.60718862e-03,20
185,Row-Update,mps,-1.39019124,2.19775991e-03,20
185,Hybrid,mixture,-1.39329203,1.80614705e-03,20
186,Metropolis,metropolis,-1.38511729,2.60288974e-03,20
186,Row-Update,mps,-1.39028662,2.19879746e-03,20
186,Hybrid,mixture,-1.39329634,1.79967107e-03,20
187,Metropolis,metropolis,-1.38511974,2.61528583e-03,20
187,Row-Update,mps,-1.39028500,2.19454274e-03,20
187,Hybrid,mixture,-1.39329352,1.80694040e-03,20
188,Metropolis,metropolis,-1.38511472,2.61001351e-03,20
188,Row-Update,mps,-1.39027738,2.18423215e-03,20
188,Hybrid,mixture,-1.39334764,1.79623008e-03,20
189,Metropolis,metropolis,-1.38512192,2.60859913e-03,20
189,Row-Update,mps,-1.39037015,2.18828910e-03,20
189,Hybrid,mixture,-1.39337110,1.80935599e-03,20
190,Metropolis,metropolis,-1.38523917,2.62913905e-03,20
190,Row-Update,mps,-1.39035497,2.19248977e-03,20
190,Hybrid,mixture,-1.39338381,1.80225181e-03,20
191,Metropolis,metropolis,-1.38518730,2.61646902e-03,20
191,Row-Update,mps,-1.39042887,2.19056770e-03,20
191,Hybrid,mixture,-1.39339722,1.78880670e-03,20
192,Metropolis,metropolis,-1.38523753,2.62349277e-03,20
192,Row-Update,mps,-1.39049978,2.18733402e-03,20
192,Hybrid,mixture,-1.39342536,1.80456846e-03,20
193,Metropolis,metropolis,-1.38526774,2.62459183e-03,20
193,Row-Update,mps,-1.39050354,2.20203266e-03,20
193,Hybrid,mixture,-1.39348722,1.77669912e-03,20
194,Metropolis,metropolis,-1.38529229,2.61955630e-03,20
194,Row-Update,mps,-1.39054170,2.18866257e-03,20
194,Hybrid,mixture,-1.39350987,1.78736804e-03,20
195,Metropolis,metropolis,-1.38529713,2.61691547e-03,20
195,Row-Update,mps,-1.39054524,2.18145037e-03,20
195,Hybrid,mixture,-1.39355501,1.78445391e-03,20
196,Metropolis,metropolis,-1.38533904,2.61337121e-03,20
196,Row-Update,mps,-1.39056440,2.19343502e-03,20
196,Hybrid,mixture,-1.39353618,1.78618857e-03,20
197,Metropolis,metropolis,-1.38538121,2.62490141e-03,20
197,Row-Update,mps,-1.39062529,2.18758032e-03,20
197,Hybrid,mixture,-1.39355031,1.79056294e-03,20
198,Metropolis,metropolis,-1.38536584,2.61343562e-03,20
198,Row-Update,mps,-1.39064251,2.19481251e-03,20
198,Hybrid,mixture,-1.39359999,1.78453652e-03,20
199,Metropolis,metropolis,-1.38538125,2.62711820e-03,20
199,Row-Update,mps,-1.39063957,2.18463283e-03,20
199,Hybrid,mixture,-1.39359708,1.78544404e-03,20
200,Metropolis,metropolis,-1.38540966,2.63002634e-03,20
200,Row-Update,mps,-1.39068907,2.19084490e-03,20
200,Hybrid,mixture,-1.39362983,1.78256781e-03,20
201,Metropolis,metropolis,-1.38541373,2.61710675e-03,20
201,Row-Update,mps,-1.39066302,2.19073791e-03,20
201,Hybrid,mixture,-1.39361970,1.77924788e-03,20
202,Metropolis,metropolis,-1.38539957,2.61870008e-03,20
202,Row-Update,mps,-1.39071636,2.19013057e-03,20
202,Hybrid,mixture,-1.39369009,1.76820150e-03,20
203,Metropolis,metropolis,-1.38554854,2.62308508e-03,20
203,Row-Update,mps,-1.39067449,2.19283292e-03,20
203,Hybrid,mixture,-1.39373008,1.75752309e-03,20
204,Metropolis,metropolis,-1.38545491,2.61327346e-03,20
204,Row-Update,mps,-1.39076477,2.19192690e-03,20
204,Hybrid,mixture,-1.39368281,1.78535087e-03,20
205,Metropolis,metropolis,-1.38550383,2.62469282e-03,20
205,Row-Update,mps,-1.39077106,2.20001472e-03,20
205,Hybrid,mixture,-1.39371497,1.77799325e-03,20
206,Metropolis,metropolis,-1.38559634,2.62097998e-03,20
206,Row-Update,mps,-1.39076358,2.19896677e-03,20
206,Hybrid,mixture,-1.39367161,1.77195136e-03,20
207,Metropolis,metropolis,-1.38560958,2.62479746e-03,20
207,Row-Update,mps,-1.39077377,2.18935817e-03,20
207,Hybrid,mixture,-1.39370150,1.76577547e-03,20
208,Metropolis,metropolis,-1.38562312,2.62996443e-03,20
208,Row-Update,mps,-1.39084112,2.19379184e-03,20
208,Hybrid,mixture,-1.39374840,1.77037873e-03,20
209,Metropolis,metropolis,-1.38564051,2.62859721e-03,20
209,Row-Update,mps,-1.39084087,2.20442711e-03,20
209,Hybrid,mixture,-1.39373537,1.78049632e-03,20
210,Metropolis,metropolis,-1.38567304,2.63148870e-03,20
210,Row-Update,mps,-1.39091192,2.19846191e-03,20
210,Hybrid,mixture,-1.39378216,1.76506692e-03,20
211,Metropolis,metropolis,-1.38566601,2.61553938e-03,20
211,Row-Update,mps,-1.39085050,2.19702460e-03,20
211,Hybrid,mixture,-1.39380908,1.76229638e-03,20
212,Metropolis,metropolis,-1.38566134,2.61916207e-03,20
212,Row-Update,mps,-1.39091463,2.20735474e-03,20
212,Hybrid,mixture,-1.39379067,1.76459514e-03,20
213,Metropolis,metropolis,-1.38574037,2.63040400e-03,20
213,Row-Update,mps,-1.39092448,2.19503343e-03,20
213,Hybrid,mixture,-1.39378208,1.77012302e-03,20
214,Metropolis,metropolis,-1.38579410,2.61596560e-03,20
214,Row-Update,mps,-1.39086282,2.19911040e-03,20
214,Hybrid,mixture,-1.39379984,1.76686314e-03,20
215,Metropolis,metropolis,-1.38575123,2.61556263e-03,20
215,Row-Update,mps,-1.39095054,2.20294218e-03,20
215,Hybrid,mixture,-1.39385589,1.77411654e-03,20
216,Metropolis,metropolis,-1.38580356,2.61410253e-03,20
216,Row-Update,mps,-1.39096374,2.20458419e-03,20
216,Hybrid,mixture,-1.39386359,1.75951288e-03,20
217,Metropolis,metropolis,-1.38567675,2.59274404e-03,20
217,Row-Update,mps,-1.39097423,2.20018493e-03,20
217,Hybrid,mixture,-1.39386170,1.76125381e-03,20
218,Metropolis,metropolis,-1.38586450,2.61587089e-03,20
218,Row-Update,mps,-1.39099682,2.19926700e-03,20
218,Hybrid,mixture,-1.39389827,1.76070665e-03,20
219,Metropolis,metropolis,-1.38589438,2.62055795e-03,20
219,Row-Update,mps,-1.39102458,2.20980061e-03,20
219,Hybrid,mixture,-1.39390274,1.78134722e-03,20
220,Metropolis,metropolis,-1.38593685,2.61370701e-03,20
220,Row-Update,mps,-1.39105070,2.20431695e-03,20
220,Hybrid,mixture,-1.39392391,1.77874621e-03,20
221,Metropolis,metropolis,-1.38590662,2.61714562e-03,20
221,Row-Update,mps,-1.39106360,2.20926382e-03,20
221,Hybrid,mixture,-1.39394382,1.76691269e-03,20
222,Metropolis,metropolis,-1.38594551,2.62122435e-03,20
222,Row-Update,mps,-1.39107589,2.20639751e-03,20
222,Hybrid,mixture,-1.39393224,1.77251086e-03,20
223,Metropolis,metropolis,-1.38593567,2.60448500e-03,20
223,Row-Update,mps,-1.39112910,2.20740864e-03,20
223,Hybrid,mixture,-1.39395050,1.76761524e-03,20
224,Metropolis,metropolis,-1.38600129,2.63250172e-03,20
224,Row-Update,mps,-1.39116318,2.20631245e-03,20
